SessionID,date,string,latency (mSec),comment
ID080113m,2014-08-01 13:52:55 +0000,5,427.561417,morning coffee
ID080113m,2014-08-01 13:52:58 +0000,6,399.567167,morning coffee
ID080113m,2014-08-01 13:53:01 +0000,4,417.222667,morning coffee
ID080113m,2014-08-01 13:53:04 +0000,6,398.576208,morning coffee
ID080113m,2014-08-01 13:53:07 +0000,5,364.02525,morning coffee
ID080113m,2014-08-01 13:53:10 +0000,2,414.694792,morning coffee
ID080113m,2014-08-01 13:53:13 +0000,3,381.374292,morning coffee
ID080113m,2014-08-01 13:53:15 +0000,2,413.543292,morning coffee
ID080113m,2014-08-01 13:53:18 +0000,5,348.697667,morning coffee
ID080113m,2014-08-01 13:53:21 +0000,5,379.535375,morning coffee
ID080113m,2014-08-01 13:53:24 +0000,6,431.48475,morning coffee
ID080113m,2014-08-01 13:53:27 +0000,4,364.99075,morning coffee
ID080113m,2014-08-01 13:53:30 +0000,2,431.5975,morning coffee
ID080113m,2014-08-01 13:53:32 +0000,6,413.154292,morning coffee
ID080113m,2014-08-01 13:53:35 +0000,4,400.253292,morning coffee
ID080113m,2014-08-01 13:53:38 +0000,1,449.462792,morning coffee
ID080113m,2014-08-01 13:53:41 +0000,4,365.675542,morning coffee
ID080113m,2014-08-01 13:53:44 +0000,2,416.69475,morning coffee
ID080113m,2014-08-01 13:53:50 +0000,2,380.4885,morning coffee
ID080113m,2014-08-01 13:53:53 +0000,1,398.052667,morning coffee
ID080113m,2014-08-01 13:53:56 +0000,4,398.8855,morning coffee
ID080113m,2014-08-01 13:53:59 +0000,5,382.279708,morning coffee
ID080113m,2014-08-01 13:54:01 +0000,4,348.57125,morning coffee
ID080113m,2014-08-01 13:54:04 +0000,3,381.979208,morning coffee
ID080113m,2014-08-01 13:54:07 +0000,6,431.548792,morning coffee
ID080113m,2014-08-01 13:54:10 +0000,3,381.954583,morning coffee
ID080113m,2014-08-01 13:54:12 +0000,4,349.7115,morning coffee
ID080113m,2014-08-01 13:54:15 +0000,5,381.494792,morning coffee
ID080113m,2014-08-01 13:54:18 +0000,1,447.188042,morning coffee
ID080113m,2014-08-01 13:54:21 +0000,5,422.00225,morning coffee
ID080113m,2014-08-01 13:54:27 +0000,3,381.118458,morning coffee
ID080113m,2014-08-01 13:54:30 +0000,5,414.846,morning coffee
,2014-08-01 13:54:30 +0000,Session,0.561807,morning coffee
ID080213m,2014-08-02 13:22:17 +0000,5,415.712208,Target Response=5
ID080213m,2014-08-02 13:22:20 +0000,4,366.66675,morning coffee
ID080213m,2014-08-02 13:22:23 +0000,2,450.927875,morning coffee
ID080213m,2014-08-02 13:22:29 +0000,1,483.408917,morning coffee
ID080213m,2014-08-02 13:22:36 +0000,2,451.159583,morning coffee
ID080213m,2014-08-02 13:22:39 +0000,6,434.1185,morning coffee
ID080213m,2014-08-02 13:22:41 +0000,1,417.416208,morning coffee
ID080213m,2014-08-02 13:22:44 +0000,3,397.045083,morning coffee
ID080213m,2014-08-02 13:22:47 +0000,6,399.075792,morning coffee
ID080213m,2014-08-02 13:22:50 +0000,2,365.016875,morning coffee
ID080213m,2014-08-02 13:22:53 +0000,5,432.014708,morning coffee
ID080213m,2014-08-02 13:22:56 +0000,5,431.899708,morning coffee
ID080213m,2014-08-02 13:23:02 +0000,6,415.161708,morning coffee
ID080213m,2014-08-02 13:23:05 +0000,5,433.788542,morning coffee
ID080213m,2014-08-02 13:23:08 +0000,2,415.153458,morning coffee
ID080213m,2014-08-02 13:23:10 +0000,6,431.976208,morning coffee
ID080213m,2014-08-02 13:23:17 +0000,5,447.497583,morning coffee
ID080213m,2014-08-02 13:23:19 +0000,2,432.3965,morning coffee
ID080213m,2014-08-02 13:23:22 +0000,2,362.294333,morning coffee
ID080213m,2014-08-02 13:23:25 +0000,2,363.079417,morning coffee
ID080213m,2014-08-02 13:23:31 +0000,6,466.846333,morning coffee
ID080213m,2014-08-02 13:23:34 +0000,5,415.499792,morning coffee
ID080213m,2014-08-02 13:23:37 +0000,2,448.834,morning coffee
ID080213m,2014-08-02 13:23:39 +0000,6,415.370417,morning coffee
ID080213m,2014-08-02 13:23:42 +0000,6,414.140542,morning coffee
ID080213m,2014-08-02 13:23:45 +0000,1,498.553875,morning coffee
ID080213m,2014-08-02 13:23:48 +0000,3,414.379375,morning coffee
ID080213m,2014-08-02 13:23:51 +0000,6,365.477292,morning coffee
ID080213m,2014-08-02 13:23:54 +0000,2,415.321292,morning coffee
ID080213m,2014-08-02 13:23:56 +0000,4,414.83225,morning coffee
ID080213m,2014-08-02 13:24:02 +0000,5,380.848,morning coffee
ID080213m,2014-08-02 13:24:05 +0000,1,494.5115,morning coffee
,2014-08-02 13:24:05 +0000,Session,0.447627,morning coffee
ID080413m,2014-08-04 13:00:18 +0000,6,462.815917,morning coffee
ID080413m,2014-08-04 13:00:21 +0000,1,466.441667,morning coffee
ID080413m,2014-08-04 13:00:24 +0000,6,467.816583,morning coffee
ID080413m,2014-08-04 13:00:27 +0000,3,366.499333,morning coffee
ID080413m,2014-08-04 13:00:30 +0000,5,399.394417,morning coffee
ID080413m,2014-08-04 13:00:32 +0000,2,399.189583,morning coffee
ID080413m,2014-08-04 13:00:35 +0000,6,431.954625,morning coffee
ID080413m,2014-08-04 13:00:38 +0000,1,415.44675,morning coffee
ID080413m,2014-08-04 13:00:42 +0000,1,465.518167,morning coffee
ID080413m,2014-08-04 13:00:45 +0000,2,431.582458,morning coffee
ID080413m,2014-08-04 13:00:48 +0000,4,448.796292,morning coffee
ID080413m,2014-08-04 13:00:51 +0000,1,448.46775,morning coffee
ID080413m,2014-08-04 13:00:53 +0000,1,431.1475,morning coffee
ID080413m,2014-08-04 13:00:57 +0000,2,431.258167,morning coffee
ID080413m,2014-08-04 13:01:00 +0000,6,532.098,morning coffee
ID080413m,2014-08-04 13:01:02 +0000,1,467.05675,morning coffee
ID080413m,2014-08-04 13:01:05 +0000,3,432.380458,morning coffee
ID080413m,2014-08-04 13:01:08 +0000,2,399.425708,morning coffee
ID080413m,2014-08-04 13:01:11 +0000,6,429.195208,morning coffee
ID080413m,2014-08-04 13:01:14 +0000,3,398.797542,morning coffee
ID080413m,2014-08-04 13:01:16 +0000,4,347.923083,morning coffee
ID080413m,2014-08-04 13:01:19 +0000,2,380.702542,morning coffee
ID080413m,2014-08-04 13:01:22 +0000,2,431.0825,morning coffee
ID080413m,2014-08-04 13:01:25 +0000,6,514.717667,morning coffee
ID080413m,2014-08-04 13:01:28 +0000,6,447.670292,morning coffee
ID080413m,2014-08-04 13:01:31 +0000,1,481.571667,morning coffee
ID080413m,2014-08-04 13:01:34 +0000,3,380.229833,morning coffee
ID080413m,2014-08-04 13:01:36 +0000,2,447.417292,morning coffee
ID080413m,2014-08-04 13:01:39 +0000,5,455.752417,morning coffee
ID080413m,2014-08-04 13:01:42 +0000,3,473.62825,morning coffee
ID080413m,2014-08-04 13:01:45 +0000,4,431.253333,morning coffee
ID080413m,2014-08-04 13:01:48 +0000,6,498.025333,morning coffee
,2014-08-04 13:01:48 +0000,Session,0.37979,morning coffee
